fips,NAME,State,StateDummy,mean_pm25,mean_no2,mean_ozone,mean_winter_temp,mean_summer_temp,mean_winter_rm,mean_summer_rm,poverty,popdensity,median_house_value,pct_blk,median_household_income,owner_occupied,education,obese,smoke,prime_pecent,mid_pecent,population,confirmed,death,q_popdensity,date_since_social,beds,date_since_1st,q_time_since,X2013.code,cli,Population,Male_White_0-4,Male_White_5-17,Male_White_18-29,Male_White_30-39,Male_White_40-49,Male_White_50-64,Male_White_65-74,,Female_White_0-4,Female_White_5-17,Female_White_18-29,Female_White_30-39,Female_White_40-49,Female_White_50-64,Female_White_65-74,Female_White_75+,Male_Black/AfricanAmerican_0-4,Male_Black/AfricanAmerican_5-17,Male_Black/AfricanAmerican_18-29,Male_Black/AfricanAmerican_30-39,Male_Black/AfricanAmerican_40-49,Male_Black/AfricanAmerican_50-64,Male_Black/AfricanAmerican_65-74,Male_Black/AfricanAmerican_75+,Female_Black/AfricanAmerican_0-4,Female_Black/AfricanAmerican_5-17,Female_Black/AfricanAmerican_18-29,Female_Black/AfricanAmerican_30-39,Female_Black/AfricanAmerican_40-49,Female_Black/AfricanAmerican_50-64,Female_Black/AfricanAmerican_65-74,Female_Black/AfricanAmerican_75+,Male_OtherRace_0-4,Male_OtherRace_5-17,Male_OtherRace_18-29,Male_OtherRace_30-39,Male_OtherRace_40-49,Male_OtherRace_50-64,Male_OtherRace_65-74,Male_OtherRace_75+,Female_OtherRace_0-4,Female_OtherRace_5-17,Female_OtherRace_18-29,Female_OtherRace_30-39,Female_OtherRace_40-49,Female_OtherRace_50-64,Female_OtherRace_65-74,Female_OtherRace_75+
1001,Autauga County,AL,0,11.71258705,9.916815447,39.55775368,288.0850909,306.023451,85.65184499,96.05541747,0.04557057,201.040355,105021.1111,0.263015817,46433.83333,0.771370735,0.286126426,0.333,0.180815572,0.412120084,0.248100147,55869,5723,70,4,30,85,41,3,3,0.368973932,54571,1382,4168,2959,2838,3414,3848,1557,901,1293,4102,2931,2906,3372,4030,1848,1306,360,1150,735,611,617,729,237,95,314,1052,809,804,734,905,290,201,124,271,184,149,117,92,27,4,106,291,156,179,164,129,54,26
1003,Baldwin County,AL,0,10.07772305,11.09523765,40.28336005,290.2088608,305.5166332,89.73097231,97.97154375,0.094226935,217.4156265,158367.1587,0.097384809,45903.37778,0.784618938,0.174484679,0.31,0.174890326,0.366823677,0.273176723,223234,18344,228,4,30,398,50,5,4,0.754365499,182265,4397,12765,9577,9281,10852,16149,7973,5280,4409,12344,9517,9460,11107,17786,8551,6705,653,1815,1606,1047,1127,1424,425,212,602,1763,1559,1101,1252,1602,528,389,564,1032,1019,714,538,523,160,63,533,1021,803,664,550,541,166,116
1005,Barbour County,AL,0,10.98196705,9.935083888,40.22745074,289.2421072,306.0622486,88.63357171,97.37167482,0.210081479,33.8891,82200,0.474787749,33020.25,0.696278375,0.396694128,0.417,0.219999845,0.411823852,0.256694882,24686,1966,40,2,30,74,31,2,6,NA,27457,293,890,948,989,1131,1582,750,444,311,831,658,646,790,1510,759,648,465,1179,1407,1084,1035,1127,305,176,430,1154,1016,688,838,1187,400,384,89,136,265,135,67,60,12,7,114,123,169,85,56,60,12,12
1007,Bibb County,AL,0,11.99871473,7.832304963,38.37666164,287.3628325,305.982177,86.48586611,96.29307694,0.091389286,39.08677925,99318.56177,0.133431042,43257,0.803954704,0.26903339,0.376,0.191141999,0.422527486,0.256504893,22394,2319,52,2,30,35,35,2,2,NA,22915,546,1555,1282,1313,1393,1771,700,374,491,1386,1163,1089,1196,1690,804,628,142,425,738,659,502,455,90,61,149,356,374,257,291,336,107,105,24,63,71,44,33,39,13,8,26,38,31,31,25,25,9,7
1009,Blount County,AL,0,11.79302254,8.883647994,39.4513961,285.5656757,305.1788646,85.4491388,94.63094868,0.086405089,282.1519113,103779.4118,0.009831209,41491.08333,0.700121814,0.356165084,0.338,0.19208672,0.390598387,0.259236054,57826,5745,101,4,30,40,40,3,2,1.002977239,57322,1586,4852,3633,3366,3867,5225,2321,1299,1581,4534,3589,3322,3823,5478,2609,1983,33,70,66,57,48,76,18,17,32,77,48,41,51,80,26,21,186,467,412,296,214,181,52,20,198,490,302,251,193,158,53,20
1011,Bullock County,AL,0,11.31355676,7.385634809,40.1285494,288.6913288,305.8677188,89.1681225,97.13842046,0.273640798,14.49910325,87500,0.801096044,32392,0.809504912,0.550204549,0.372,0.22894664,0.415156791,0.254635909,10101,1087,29,2,30,61,39,3,6,NA,10914,53,126,193,252,273,392,158,107,45,119,77,82,100,247,146,137,276,653,689,565,588,822,224,124,241,658,577,435,501,762,293,258,73,65,163,67,15,21,11,2,54,67,117,44,18,15,3,6
1013,Butler County,AL,0,10.80414611,6.698572613,39.38752654,289.3199501,306.1584924,88.41467891,97.1173997,0.136124816,18.36076575,63750,0.387741862,32453.25,0.782217587,0.230427591,0.433,0.21765335,0.367612593,0.260980062,19448,1833,60,2,30,94,40,3,6,NA,20947,351,857,636,640,701,1334,569,383,314,768,707,615,760,1321,657,786,336,1014,727,442,463,739,256,155,317,924,847,637,666,930,316,326,27,66,32,33,24,32,14,7,27,55,27,39,29,21,17,3
1015,Calhoun County,AL,0,12.30684977,9.960872714,39.55537158,286.0322867,305.1069784,86.58536346,96.38513365,0.108199633,333.254175,127720,0.161796097,46977.2,0.725282788,0.220313884,0.385,0.206125604,0.403287144,0.261610664,113605,12102,235,4,30,590,47,5,4,0.870990062,118572,2429,7119,6950,5305,6123,9190,3719,2333,2255,6724,6933,5389,6027,9791,4365,4188,876,2514,2536,1313,1317,1921,517,278,920,2326,3022,1651,1650,2238,648,655,400,638,588,423,283,291,83,30,324,601,519,337,286,373,105,69
1017,Chambers County,AL,0,11.42308266,9.63076576,40.3144306,287.5812197,305.6673526,87.76759871,96.23720963,0.140610682,88.09215833,102733.3333,0.361951031,37719,0.748886892,0.334165561,0.401,0.193929271,0.373356445,0.267841354,33254,3219,78,3,30,115,46,4,5,1.467354728,34215,483,1535,1274,1139,1415,2246,1052,671,491,1421,1166,1119,1363,2394,1103,1240,443,1303,955,729,871,1217,382,179,430,1283,1086,930,957,1477,524,491,55,115,106,86,39,41,22,5,51,93,55,58,42,41,25,12
1019,Cherokee County,AL,0,12.17633443,8.65575617,40.9812822,285.2225696,305.2567209,87.75722354,96.03808884,0.135306723,56.265644,105260,0.043847885,38159,0.787454961,0.292013899,0.35,0.174986738,0.351947469,0.29301761,26196,1714,36,3,30,60,40,3,6,0.704591819,25989,653,1883,1415,1416,1765,2783,1344,648,601,1854,1442,1379,1654,2814,1420,1010,25,144,87,64,84,154,39,21,34,96,65,64,77,153,54,47,40,101,58,24,44,61,26,9,37,98,44,29,37,59,26,7
